target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-01-01,random,research-v2,"[11, 23, 30, 35, 39, 43]",34,1,1,2,2,[23],0.10745522698209152,0.37177617991244843,23.0
2020-01-01,ema_gap,research-v2,"[11, 23, 30, 35, 39, 43]",34,0,0,0,1,[],0.11370545920021283,0.39834734316977966,32.5
2020-01-01,v2_statistical,research-v2,"[11, 23, 30, 35, 39, 43]",34,1,1,1,1,[43],0.1161344499854743,0.4109163172149238,30.833333333333332
2020-01-04,random,research-v2,"[23, 24, 36, 42, 45, 46]",21,0,0,1,1,[],0.10745522702834275,0.3717761801276601,29.666666666666668
2020-01-04,ema_gap,research-v2,"[23, 24, 36, 42, 45, 46]",21,1,1,3,3,[45],0.10446845659315052,0.3596166829473072,19.333333333333332
2020-01-04,v2_statistical,research-v2,"[23, 24, 36, 42, 45, 46]",21,1,1,3,4,[45],0.10141434240764291,0.35062998732698836,18.0
2020-01-08,random,research-v2,"[2, 5, 19, 44, 48, 49]",24,1,1,1,3,[44],0.10745522693299973,0.3717761796840194,18.833333333333332
2020-01-08,ema_gap,research-v2,"[2, 5, 19, 44, 48, 49]",24,1,1,2,3,[2],0.10712791033126708,0.3678653378066905,19.166666666666668
2020-01-08,v2_statistical,research-v2,"[2, 5, 19, 44, 48, 49]",24,1,1,2,4,[2],0.10773174465072265,0.36888355229763586,19.666666666666668
2020-01-11,random,research-v2,"[2, 3, 7, 18, 24, 26]",6,0,0,1,2,[],0.10745522699882426,0.3717761799903077,26.333333333333332
2020-01-11,ema_gap,research-v2,"[2, 3, 7, 18, 24, 26]",6,2,2,3,3,"[2, 24]",0.10735110719881645,0.37462897928207345,23.333333333333332
2020-01-11,v2_statistical,research-v2,"[2, 3, 7, 18, 24, 26]",6,0,0,1,3,[],0.11270760703901535,0.39140710706948734,25.333333333333332
2020-01-15,random,research-v2,"[1, 17, 23, 25, 26, 34]",24,1,1,2,3,[25],0.1074552269577526,0.3717761797991969,22.5
2020-01-15,ema_gap,research-v2,"[1, 17, 23, 25, 26, 34]",24,0,0,0,0,[],0.11341831235141628,0.396384185119939,32.5
2020-01-15,v2_statistical,research-v2,"[1, 17, 23, 25, 26, 34]",24,0,0,0,1,[],0.11601216497022962,0.4039835888463548,30.166666666666668
2020-01-18,random,research-v2,"[2, 5, 10, 18, 26, 30]",36,2,2,3,5,"[10, 26]",0.10745522687068336,0.37177617939405516,11.666666666666666
2020-01-18,ema_gap,research-v2,"[2, 5, 10, 18, 26, 30]",36,2,2,2,2,"[2, 18]",0.10566858950179767,0.36352765798618647,21.333333333333332
2020-01-18,v2_statistical,research-v2,"[2, 5, 10, 18, 26, 30]",36,0,0,1,1,[],0.11220033016357131,0.38538661371230626,23.666666666666668
2020-01-22,random,research-v2,"[2, 10, 27, 30, 39, 43]",21,0,0,0,0,[],0.10745522704804157,0.37177618021932074,32.666666666666664
2020-01-22,ema_gap,research-v2,"[2, 10, 27, 30, 39, 43]",21,1,1,2,3,[2],0.10523964518147355,0.3640000770142663,20.0
2020-01-22,v2_statistical,research-v2,"[2, 10, 27, 30, 39, 43]",21,2,2,2,3,"[2, 43]",0.10580202679564119,0.3657129211428033,20.5
2020-01-25,random,research-v2,"[8, 20, 21, 30, 32, 48]",31,1,1,3,4,[8],0.10745522688004383,0.37177617943761027,13.333333333333334
2020-01-25,ema_gap,research-v2,"[8, 20, 21, 30, 32, 48]",31,0,0,2,2,[],0.11140693653378955,0.38927103827080284,28.333333333333332
2020-01-25,v2_statistical,research-v2,"[8, 20, 21, 30, 32, 48]",31,0,0,1,2,[],0.11236732380757151,0.3920186021012292,27.666666666666668
2020-01-29,random,research-v2,"[3, 14, 16, 23, 41, 43]",29,1,1,1,1,[41],0.10745522708041876,0.3717761803699752,34.166666666666664
2020-01-29,ema_gap,research-v2,"[3, 14, 16, 23, 41, 43]",29,0,0,1,4,[],0.10825709004904799,0.37325779608861415,21.666666666666668
2020-01-29,v2_statistical,research-v2,"[3, 14, 16, 23, 41, 43]",29,2,2,2,2,"[41, 43]",0.1073795426145892,0.375957968816642,21.833333333333332
2020-02-01,random,research-v2,"[13, 21, 35, 40, 45, 48]",47,1,1,1,2,[40],0.10745522701793699,0.371776180079241,28.166666666666668
2020-02-01,ema_gap,research-v2,"[13, 21, 35, 40, 45, 48]",47,2,2,2,3,"[45, 48]",0.10725815209271172,0.3729364038558724,24.333333333333332
2020-02-01,v2_statistical,research-v2,"[13, 21, 35, 40, 45, 48]",47,1,1,3,3,[45],0.10445361850393642,0.3668024125344703,22.166666666666668
2020-02-08,random,research-v2,"[8, 28, 30, 39, 41, 43]",45,1,1,2,3,[39],0.10745522696883876,0.3717761798507819,22.5
2020-02-08,ema_gap,research-v2,"[8, 28, 30, 39, 41, 43]",45,1,1,3,4,[43],0.1053788006092722,0.3599374153008431,17.666666666666668
2020-02-08,v2_statistical,research-v2,"[8, 28, 30, 39, 41, 43]",45,2,2,2,3,"[41, 43]",0.1037699416742889,0.35664233266501955,19.666666666666668
2020-02-12,random,research-v2,"[16, 20, 24, 33, 36, 47]",4,1,1,4,4,[47],0.10745522688610669,0.37177617946582137,14.0
2020-02-12,ema_gap,research-v2,"[16, 20, 24, 33, 36, 47]",4,0,0,2,3,[],0.10813760708939053,0.37213127477462127,22.0
2020-02-12,v2_statistical,research-v2,"[16, 20, 24, 33, 36, 47]",4,0,0,2,4,[],0.10893414320334732,0.3711106554309703,19.333333333333332
2020-02-15,random,research-v2,"[7, 8, 11, 23, 27, 30]",3,0,0,0,2,[],0.1074552270161473,0.37177618007091345,27.333333333333332
