target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-01-01,random,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,1,1,[],0.10745522698875466,0.37177617994345313,30.166666666666668
2020-01-01,long_frequency,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,1,1,1,2,[43],0.10776139415018818,0.3731712008535938,29.166666666666668
2020-01-01,recent_frequency,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,1,1,[],0.10867153019575176,0.3769609244074306,27.833333333333332
2020-01-01,ema_gap,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,0,1,[],0.11370545920021283,0.39834734316977966,32.5
2020-01-01,logistic,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,2,3,[],0.10656784613375547,0.3671406397962152,19.5
2020-01-01,ensemble,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,1,2,[],0.10825619606263519,0.37528063230894615,28.166666666666668
2020-01-04,random,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,0,0,0,0,[],0.10745522698875466,0.37177617994345313,36.0
2020-01-04,long_frequency,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,1,1,2,4,[45],0.10675778789672852,0.3685363498725413,17.0
2020-01-04,recent_frequency,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,0,0,2,2,[],0.1081641016243232,0.37470167968932244,26.666666666666668
2020-01-04,ema_gap,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,1,1,3,3,[45],0.10446845659315052,0.3596166829473072,19.333333333333332
2020-01-04,logistic,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,2,2,3,4,"[36, 45]",0.10406154383257858,0.3561516908614001,13.333333333333334
2020-01-04,ensemble,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,1,1,3,4,[45],0.10507496589581229,0.36111995638789884,16.333333333333332
2020-01-08,random,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,2,2,2,2,"[2, 5]",0.10745522698875466,0.37177617994345324,27.833333333333332
2020-01-08,long_frequency,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,0,0,0,1,[],0.10779677190517784,0.37328613112913533,27.0
2020-01-08,recent_frequency,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,3,4,[19],0.10521063223656811,0.36110057244987864,16.333333333333332
2020-01-08,ema_gap,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,2,3,[2],0.10712791033126708,0.3678653378066905,19.166666666666668
2020-01-08,logistic,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,2,2,[2],0.1073373549673222,0.37078858508452656,20.833333333333332
2020-01-08,ensemble,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,3,4,[2],0.10674180761612882,0.36800987381579026,19.166666666666668
2020-01-11,random,v1.0.0,"[2, 3, 7, 18, 24, 26]",6,2,2,3,4,"[2, 3]",0.10745522698875465,0.37177617994345336,13.333333333333334
2020-01-11,long_frequency,v1.0.0,"[2, 3, 7, 18, 24, 26]",6,0,0,0,0,[],0.10791637954787402,0.37384645449139575,29.0
2020-01-11,recent_frequency,v1.0.0,"[2, 3, 7, 18, 24, 26]",6,0,0,1,3,[],0.10718891795085382,0.3701221279777641,21.0
2020-01-11,ema_gap,v1.0.0,"[2, 3, 7, 18, 24, 26]",6,2,2,3,3,"[2, 24]",0.10735110719881645,0.37462897928207345,23.333333333333332
2020-01-11,logistic,v1.0.0,"[2, 3, 7, 18, 24, 26]",6,0,0,0,1,[],0.108549546812508,0.3764165046645108,31.5
2020-01-11,ensemble,v1.0.0,"[2, 3, 7, 18, 24, 26]",6,0,0,3,3,[],0.10763572863348574,0.3724709527908229,24.0
2020-01-15,random,v1.0.0,"[1, 17, 23, 25, 26, 34]",24,1,1,1,2,[1],0.10745522698875466,0.3717761799434532,21.0
2020-01-15,long_frequency,v1.0.0,"[1, 17, 23, 25, 26, 34]",24,1,1,1,2,[34],0.10771957096001664,0.3730063706221424,29.166666666666668
