target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-01-01,random,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,1,1,[],0.10745522698875466,0.37177617994345313,30.166666666666668
2020-01-01,ema_gap,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,0,1,[],0.11370545920021283,0.39834734316977966,32.5
2020-01-01,v2_statistical,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,1,1,1,1,[43],0.1161344499854743,0.4109163172149238,30.833333333333332
2020-01-01,v3_boosting,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,1,1,[],0.1136560959310345,0.399688418101528,30.666666666666668
2020-01-01,v4_ensemble,v1.0.0,"[11, 23, 30, 35, 39, 43]",34,0,0,0,1,[],0.11385005339606899,0.40131411274988354,32.833333333333336
2020-01-04,random,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,0,0,0,0,[],0.10745522698875466,0.37177617994345313,36.0
2020-01-04,ema_gap,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,1,1,3,3,[45],0.10446845659315052,0.3596166829473072,19.333333333333332
2020-01-04,v2_statistical,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,1,1,3,4,[45],0.10141434240764291,0.35062998732698836,18.0
2020-01-04,v3_boosting,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,1,1,2,2,[36],0.1064462894842214,0.36626540595651624,21.166666666666668
2020-01-04,v4_ensemble,v1.0.0,"[23, 24, 36, 42, 45, 46]",21,2,2,2,4,"[36, 45]",0.10344317976954787,0.3552070760719633,18.166666666666668
2020-01-08,random,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,2,2,2,2,"[2, 5]",0.10745522698875466,0.37177617994345324,27.833333333333332
2020-01-08,ema_gap,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,2,3,[2],0.10712791033126708,0.3678653378066905,19.166666666666668
2020-01-08,v2_statistical,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,2,4,[2],0.10773174465072265,0.36888355229763586,19.666666666666668
2020-01-08,v3_boosting,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,1,1,2,3,[49],0.10868946713867396,0.3764256539016602,22.666666666666668
2020-01-08,v4_ensemble,v1.0.0,"[2, 5, 19, 44, 48, 49]",24,0,0,1,3,[],0.10698985067577631,0.36674823460009,19.833333333333332
